Hello from Zybo Z7-20
PMU and PL310 L2 counters initialised
PL310 Cache ID   : 0x410000C8
PL310 Ctrl (en?) : 0x00000001
L1 access delta   : 307341
L1 miss delta     : 2052
L2 access (DRREQ) : 6111
L2 hit (DRHIT)    : 2048

================================================
  DMA Smoke Test - ACP vs HP0 Path Validation
================================================
[DMA] Initialised - base addr  : 0x40400000
[DMA] HasSg            : 0
[DMA] MM2S MaxTransfer : 8388607 bytes
[DMA] S2MM MaxTransfer : 8388607 bytes
[DMA] SMOKE_BYTES      : 262144 bytes

[SMOKE] --- ACP loopback test (N=256, 262144 bytes) ---
[SMOKE] SRC filled, DST cleared
[VERIFY] SRC[0] from DDR   = 0x3F800000
[VERIFY] SRC[0] from cache = 0x3F800000
[VERIFY] If DDR != 1.0f but test passes → SCU snooping confirmed
[VERIFY] If DDR == 1.0f → eviction occurred, result inconclusive
[SMOKE] Barriers done - no flush, SCU should snoop cache
[SMOKE] ACP loopback (N=256): PASS

[SMOKE] --- HP0 loopback test (N=256, 262144 bytes) ---
[SMOKE] SRC filled, DST cleared
[SMOKE] Cache flushed - SRC data now in DDR
[SMOKE] Cache invalidated - PS will read fresh DST from DDR
[SMOKE] HP0 loopback (N=256): PASS

[SMOKE] --- Stale data test (deliberate flush omission) ---
[SMOKE] Expecting FAIL - this confirms HP0 coherency requirement
[SMOKE] SRC filled with new values (NOT flushed to DDR)
[SMOKE] DDR still holds stale data from previous test
[CMP] First mismatch at [8]: src bits=0x42C60419  dst bits=0x00000000
[SMOKE] HP0 stale data test: FAIL as expected (528 mismatches)
[SMOKE] CONFIRMED: omitting flush causes data corruption on HP0

================================================
  Smoke Test Summary
================================================
  ACP loopback  : PASS
  HP0 loopback  : PASS
  Stale data    : FAIL as expected (CORRECT)

  All tests behaved as expected.
  Safe to proceed to full benchmark sweep.
================================================


Initialising matmul_0 accelerator...
matmul_0 base addr : 0x40000000
Running matmul correctness check (N=4)...
MATMUL PASS

Starting benchmark sweep...

# =====================================================
# ACP vs HP0 vs HW-Matmul Benchmark — Zybo Z7-20
# COUNTS_PER_SEC=333333343  REPEATS=5
# mode,N,elapsed_us,l1d_miss,l1d_access,l2d_miss,l2d_access,l1_hit_pct,l2_hit_pc                                                                                                             t
# =====================================================
ACP,32,33,5,717,46,88,99.30,47.72
ACP,32,33,2,711,18,34,99.71,47.05
ACP,32,33,0,695,8,16,100.00,50.00
ACP,32,32,0,692,3,6,100.00,50.00
ACP,32,32,0,693,0,0,100.00,0.00
HP,32,58,0,708,214,341,100.00,37.24
HP,32,58,0,709,211,338,100.00,37.57
HP,32,58,0,707,204,331,100.00,38.36
HP,32,57,0,696,213,340,100.00,37.35
HP,32,57,0,697,202,329,100.00,38.60
MATMUL,32,1985,0,61744,4328,8495,100.00,49.05
MATMUL,32,1985,0,60915,4287,8455,100.00,49.29
MATMUL,32,1985,0,60902,4288,8456,100.00,49.29
MATMUL,32,1985,0,60879,4288,8456,100.00,49.29
MATMUL,32,1985,0,60889,4288,8456,100.00,49.29
ACP,64,112,0,2387,542,1054,100.00,48.57
ACP,64,112,0,2387,541,1053,100.00,48.62
ACP,64,112,0,2392,543,1055,100.00,48.53
ACP,64,112,0,2389,540,1052,100.00,48.66
ACP,64,112,0,2379,547,1059,100.00,48.34
HP,64,209,0,2392,831,1339,100.00,37.93
HP,64,212,0,2391,828,1336,100.00,38.02
HP,64,211,0,2394,831,1339,100.00,37.93
HP,64,212,0,2386,824,1332,100.00,38.13
HP,64,212,0,2404,835,1343,100.00,37.82
MATMUL,64,14776,0,454906,33388,66545,100.00,49.82
MATMUL,64,14776,0,454929,33382,66545,100.00,49.83
MATMUL,64,14775,0,454895,33377,66541,100.00,49.83
MATMUL,64,14774,0,454879,33376,66540,100.00,49.84
MATMUL,64,14776,0,454912,33375,66539,100.00,49.84
ACP,128,429,0,9413,2085,4133,100.00,49.55
ACP,128,429,0,9145,2076,4124,100.00,49.66
ACP,128,429,0,9414,2084,4132,100.00,49.56
ACP,128,429,0,9143,2111,4159,100.00,49.24
ACP,128,429,0,9138,2075,4123,100.00,49.67
HP,128,826,0,9160,3311,5343,100.00,38.03
HP,128,828,0,9156,3287,5319,100.00,38.20
HP,128,828,0,9155,3319,5351,100.00,37.97
HP,128,828,0,9155,3314,5346,100.00,38.00
HP,128,828,0,9156,3297,5329,100.00,38.13
MATMUL,128,114066,0,3561271,263593,527540,100.00,50.03
MATMUL,128,114070,0,3516974,263495,527447,100.00,50.04
MATMUL,128,114070,0,3517029,263457,527409,100.00,50.04
MATMUL,128,114070,0,3517026,263481,527433,100.00,50.04
MATMUL,128,114070,0,3517067,263494,527446,100.00,50.04
ACP,256,1698,0,37227,9464,17241,100.00,45.10
ACP,256,1698,0,36153,8643,16441,100.00,47.43
ACP,256,1698,0,36148,8435,16248,100.00,48.08
ACP,256,1698,0,37228,8191,16009,100.00,48.83
ACP,256,1698,0,36149,8097,15919,100.00,49.13
HP,256,3184,0,36171,13328,21456,100.00,37.88
HP,256,3227,0,37248,13219,21347,100.00,38.07
HP,256,3239,0,37239,13209,21337,100.00,38.09
HP,256,3240,0,36174,13187,21315,100.00,38.13
HP,256,3240,0,36166,13209,21337,100.00,38.09
MATMUL,256,896961,0,27666359,2094380,4198967,100.00,50.12
MATMUL,256,896960,0,27666446,2094410,4198977,100.00,50.12
MATMUL,256,896958,0,27666183,2094398,4198948,100.00,50.12
MATMUL,256,896955,0,27666059,2094374,4198954,100.00,50.12
MATMUL,256,896957,0,27666464,2094389,4198969,100.00,50.12
ACP,512,6773,0,144301,49034,81598,100.00,39.90
ACP,512,6773,0,144298,47668,80248,100.00,40.59
ACP,512,6773,0,148635,46393,79000,100.00,41.27
ACP,512,6773,0,148628,45839,78451,100.00,41.56
ACP,512,6773,0,144284,47199,79797,100.00,40.85
HP,512,10653,0,144311,53107,85619,100.00,37.97
HP,512,10656,0,144311,52971,85483,100.00,38.03
HP,512,10656,0,144321,53233,85745,100.00,37.91
HP,512,10656,0,148637,52894,85406,100.00,38.06
HP,512,10656,0,144300,52761,85273,100.00,38.12
MATMUL,512,7113172,0,219479036,16751727,33508195,100.00,50.00
MATMUL,512,7113180,0,219479739,16751822,33508290,100.00,50.00
MATMUL,512,7113186,0,219479563,16751645,33508113,100.00,50.00
MATMUL,512,7113196,0,219479843,16751693,33508161,100.00,50.00
MATMUL,512,7113171,0,219479002,16751597,33508065,100.00,50.00
# Sweep complete.
