SW vs HW CROSS-CHECK FAIL (87 errors)
Hello from Zybo Z7-20
PMU and PL310 L2 counters initialised
PL310 Cache ID   : 0x410000C8
PL310 Ctrl (en?) : 0x00000001
L1 access delta   : 307606
L1 miss delta     : 2055
L2 access (DRREQ) : 6113
L2 hit (DRHIT)    : 2052

================================================
  DMA Smoke Test - ACP vs HP0 Path Validation
================================================
[DMA] Initialised - base addr  : 0x40400000
[DMA] HasSg            : 0
[DMA] MM2S MaxTransfer : 8388607 bytes
[DMA] S2MM MaxTransfer : 8388607 bytes
[DMA] SMOKE_BYTES      : 262144 bytes

[SMOKE] --- ACP loopback test (N=256, 262144 bytes) ---
[SMOKE] SRC filled, DST cleared
[VERIFY] SRC[0] from DDR   = 0x3F800000
[VERIFY] SRC[0] from cache = 0x3F800000
[VERIFY] If DDR != 1.0f but test passes → SCU snooping confirmed
[VERIFY] If DDR == 1.0f → eviction occurred, result inconclusive
[SMOKE] Barriers done - no flush, SCU should snoop cache
[SMOKE] ACP loopback (N=256): PASS

[SMOKE] --- HP0 loopback test (N=256, 262144 bytes) ---
[SMOKE] SRC filled, DST cleared
[SMOKE] Cache flushed - SRC data now in DDR
[SMOKE] Cache invalidated - PS will read fresh DST from DDR
[SMOKE] HP0 loopback (N=256): PASS

[SMOKE] --- Stale data test (deliberate flush omission) ---
[SMOKE] Expecting FAIL - this confirms HP0 coherency requirement
[SMOKE] SRC filled with new values (NOT flushed to DDR)
[SMOKE] DDR still holds stale data from previous test
[CMP] First mismatch at [40]: src bits=0x42C6147B  dst bits=0x00000000
[SMOKE] HP0 stale data test: FAIL as expected (128 mismatches)
[SMOKE] CONFIRMED: omitting flush causes data corruption on HP0

================================================
  Smoke Test Summary
================================================
  ACP loopback  : PASS
  HP0 loopback  : PASS
  Stale data    : FAIL as expected (CORRECT)

  All tests behaved as expected.
  Safe to proceed to full benchmark sweep.
================================================


SW matmul correctness check (N=16)...
SW MATMUL PASS

Initialising matmul_0 accelerator...
matmul_0 base addr : 0x40000000
HW matmul correctness check (N=16)...
HW MATMUL PASS (N=16)
HW matmul correctness check (N=32)...
HW MATMUL PASS (N=32)
HW matmul correctness check (N=64)...
HW MATMUL PASS (N=64)
HW matmul correctness check (N=128)...
HW MATMUL PASS (N=128)
HW matmul correctness check (N=256)...
HW MATMUL PASS (N=256)
HW matmul correctness check (N=512)...
HW MATMUL PASS (N=512)
SW vs HW cross-check with asymmetric inputs (N=32)...
SW vs HW CROSS-CHECK PASS

Starting benchmark sweep...

# =====================================================
# ACP vs HP0 vs HW-Matmul Benchmark — Zybo Z7-20
# COUNTS_PER_SEC=333333343  REPEATS=5
# mode,N,elapsed_us,l1d_miss,l1d_access,l2d_miss,l2d_access,l1_hit_pct,l2_hit_pct
# =====================================================
ACP,32,33,3,716,13,14,99.58,7.14
ACP,32,33,2,692,5,6,99.71,16.66
ACP,32,33,1,695,4,6,99.85,33.33
ACP,32,33,1,705,3,4,99.85,25.00
ACP,32,32,0,695,1,2,100.00,50.00
HP,32,58,0,714,209,336,100.00,37.79
HP,32,57,0,704,208,335,100.00,37.91
HP,32,57,0,698,207,334,100.00,38.02
HP,32,57,0,698,206,333,100.00,38.13
HP,32,57,0,696,207,334,100.00,38.02
MATMUL,32,686,1,20914,789,1368,99.99,42.32
MATMUL,32,686,0,20921,787,1365,100.00,42.34
MATMUL,32,685,0,20905,783,1361,100.00,42.46
MATMUL,32,686,0,20918,786,1364,100.00,42.37
MATMUL,32,686,0,20911,787,1365,100.00,42.34
ACP,64,112,0,2379,223,439,100.00,49.20
ACP,64,112,2,2369,198,394,99.91,49.74
ACP,64,112,0,2370,118,238,100.00,50.42
ACP,64,112,0,2373,6,12,100.00,50.00
ACP,64,112,0,2374,6,12,100.00,50.00
HP,64,212,0,2444,831,1339,100.00,37.93
HP,64,212,0,2397,842,1350,100.00,37.62
HP,64,212,0,2381,837,1345,100.00,37.76
HP,64,212,0,2384,833,1341,100.00,37.88
HP,64,212,0,2369,821,1329,100.00,38.22
MATMUL,64,4614,1,141445,5245,9720,99.99,46.03
MATMUL,64,4613,0,141395,5211,9691,100.00,46.22
MATMUL,64,4613,0,141404,5221,9701,100.00,46.18
MATMUL,64,4613,0,141382,5228,9708,100.00,46.14
MATMUL,64,4612,0,141368,5213,9693,100.00,46.21
ACP,128,429,0,9130,2180,4227,100.00,48.42
ACP,128,429,0,9124,2200,4247,100.00,48.19
ACP,128,429,0,9124,2179,4226,100.00,48.43
ACP,128,429,0,9125,2180,4227,100.00,48.42
ACP,128,429,0,9122,2178,4225,100.00,48.44
HP,128,817,0,9132,3279,5311,100.00,38.26
HP,128,828,0,9134,3312,5344,100.00,38.02
HP,128,828,0,9135,3311,5343,100.00,38.03
HP,128,828,0,9139,3313,5345,100.00,38.01
HP,128,828,0,9128,3307,5339,100.00,38.05
MATMUL,128,33546,0,1031715,37738,72285,100.00,47.79
MATMUL,128,33544,0,1031639,37646,72206,100.00,47.86
MATMUL,128,33544,0,1031660,37618,72178,100.00,47.88
MATMUL,128,33544,0,1031646,37606,72166,100.00,47.88
MATMUL,128,33544,0,1031641,37623,72183,100.00,47.87
ACP,256,1698,0,36164,12552,20690,100.00,39.33
ACP,256,1698,0,36163,9687,17861,100.00,45.76
ACP,256,1698,0,36165,9453,17627,100.00,46.37
ACP,256,1698,0,37246,9390,17566,100.00,46.54
ACP,256,1698,0,36159,9374,17550,100.00,46.58
HP,256,2888,0,36166,13211,21339,100.00,38.08
HP,256,2984,0,36179,13239,21367,100.00,38.03
HP,256,3071,0,36170,13149,21277,100.00,38.20
HP,256,3173,0,36163,13217,21345,100.00,38.07
HP,256,3250,0,36170,13241,21369,100.00,38.03
MATMUL,256,255162,0,7861145,289134,558587,100.00,48.23
MATMUL,256,255160,0,7861092,289495,558989,100.00,48.21
MATMUL,256,255164,0,7861226,289526,558959,100.00,48.20
MATMUL,256,255158,0,7861019,289070,558554,100.00,48.24
MATMUL,256,255159,0,7861085,288956,558404,100.00,48.25
ACP,512,6773,0,144301,49368,81932,100.00,39.74
ACP,512,6773,0,144294,46925,79510,100.00,40.98
ACP,512,6773,0,148639,46442,79039,100.00,41.24
ACP,512,6773,0,144280,46355,78969,100.00,41.29
ACP,512,6773,0,144288,47905,80496,100.00,40.48
HP,512,10654,0,144303,53058,85570,100.00,37.99
HP,512,10655,0,144312,52961,85473,100.00,38.03
HP,512,10656,0,144302,52825,85337,100.00,38.09
HP,512,10656,0,144307,53077,85589,100.00,37.98
HP,512,10656,0,144293,52844,85356,100.00,38.08
MATMUL,512,1993230,0,61463441,2858892,4971917,100.00,42.49
MATMUL,512,1993180,0,61461853,2850691,4963557,100.00,42.56
MATMUL,512,1993182,0,61461981,2850538,4963448,100.00,42.56
MATMUL,512,1993182,0,61461958,2851958,4965188,100.00,42.56
MATMUL,512,1993183,0,61461955,2852110,4965340,100.00,42.55
# Sweep complete.
