Hello from Zybo Z7-20
PMU and PL310 L2 counters initialised
PL310 Cache ID   : 0x410000C8
PL310 Ctrl (en?) : 0x00000001
L1 access delta   : 307311
L1 miss delta     : 2051
L2 access (DRREQ) : 6109
L2 hit (DRHIT)    : 2047

================================================
  DMA Smoke Test - ACP vs HP0 Path Validation
================================================
[DMA] Initialised - base addr  : 0x40400000
[DMA] HasSg            : 0
[DMA] MM2S MaxTransfer : 8388607 bytes
[DMA] S2MM MaxTransfer : 8388607 bytes
[DMA] SMOKE_BYTES      : 262144 bytes

[SMOKE] --- ACP loopback test (N=256, 262144 bytes) ---
[SMOKE] SRC filled, DST cleared
[VERIFY] SRC[0] from DDR   = 0x3F800000
[VERIFY] SRC[0] from cache = 0x3F800000
[VERIFY] If DDR != 1.0f but test passes → SCU snooping confirmed
[VERIFY] If DDR == 1.0f → eviction occurred, result inconclusive
[SMOKE] Barriers done - no flush, SCU should snoop cache
[SMOKE] ACP loopback (N=256): PASS

[SMOKE] --- HP0 loopback test (N=256, 262144 bytes) ---
[SMOKE] SRC filled, DST cleared
[SMOKE] Cache flushed - SRC data now in DDR
[SMOKE] Cache invalidated - PS will read fresh DST from DDR
[SMOKE] HP0 loopback (N=256): PASS

[SMOKE] --- Stale data test (deliberate flush omission) ---
[SMOKE] Expecting FAIL - this confirms HP0 coherency requirement
[SMOKE] SRC filled with new values (NOT flushed to DDR)
[SMOKE] DDR still holds stale data from previous test
[CMP] First mismatch at [1984]: src bits=0x42C9F7CF  dst bits=0x00000000
[SMOKE] HP0 stale data test: FAIL as expected (496 mismatches)
[SMOKE] CONFIRMED: omitting flush causes data corruption on HP0

================================================
  Smoke Test Summary
================================================
  ACP loopback  : PASS
  HP0 loopback  : PASS
  Stale data    : FAIL as expected (CORRECT)

  All tests behaved as expected.
  Safe to proceed to full benchmark sweep.
================================================


SW matmul correctness check (N=16)...
SW MATMUL PASS

Initialising matmul_0 accelerator...
matmul_0 base addr : 0x40000000
HW matmul correctness check (N=16)...
HW MATMUL PASS (N=16)
HW matmul correctness check (N=32)...
HW MATMUL PASS (N=32)
HW matmul correctness check (N=64)...
HW MATMUL PASS (N=64)
HW matmul correctness check (N=128)...
HW MATMUL PASS (N=128)
HW matmul correctness check (N=256)...
HW MATMUL PASS (N=256)
HW matmul correctness check (N=512)...
HW MATMUL PASS (N=512)
SW vs HW cross-check with asymmetric inputs (N=32)...
SW vs HW CROSS-CHECK PASS

Starting benchmark sweep...

# =====================================================
# ACP vs HP0 vs SW-Matmul Benchmark — Zybo Z7-20
# COUNTS_PER_SEC=333333343  REPEATS=5
# mode,N,elapsed_us,l1d_miss,l1d_access,l2d_miss,l2d_access,l1_hit_pct,l2_hit_pct
# =====================================================
ACP,32,33,4,716,11,13,99.44,15.38
ACP,32,33,2,693,6,8,99.71,25.00
ACP,32,33,1,709,3,4,99.85,25.00
ACP,32,32,0,697,0,0,100.00,0.00
ACP,32,32,0,695,0,0,100.00,0.00
HP,32,58,0,713,206,333,100.00,38.13
HP,32,57,0,701,214,341,100.00,37.24
HP,32,57,0,699,207,334,100.00,38.02
HP,32,57,0,695,205,332,100.00,38.25
HP,32,57,0,702,208,335,100.00,37.91
SW,32,2421,426,607836,646,1064,99.92,39.28
SW,32,2421,387,607835,621,1001,99.93,37.96
SW,32,2421,388,607830,623,1005,99.93,38.00
SW,32,2421,387,607827,626,1007,99.93,37.83
SW,32,2421,384,607827,624,1002,99.93,37.72
ACP,64,112,4,2364,93,179,99.83,48.04
ACP,64,112,2,2368,214,396,99.91,45.95
ACP,64,112,2,2431,142,276,99.91,48.55
ACP,64,112,0,2374,101,201,100.00,49.75
ACP,64,112,2,2381,95,188,99.91,49.46
HP,64,212,2,2376,837,1347,99.91,37.86
HP,64,212,1,2380,826,1335,99.95,38.12
HP,64,212,0,2382,834,1342,100.00,37.85
HP,64,212,1,2389,836,1345,99.95,37.84
HP,64,212,1,2381,830,1339,99.95,38.01
SW,64,19126,2119,4789837,3304,5350,99.95,38.24
SW,64,19122,2124,4789827,3295,5400,99.95,38.98
SW,64,19121,2089,4789827,3234,5311,99.95,39.10
SW,64,19122,2119,4789837,3272,5376,99.95,39.13
SW,64,19121,2117,4789834,3274,5378,99.95,39.12
ACP,128,429,6,9118,1538,3073,99.93,49.95
ACP,128,429,5,9075,1053,2105,99.94,49.97
ACP,128,429,6,9363,1398,2794,99.93,49.96
ACP,128,429,6,9126,1615,3221,99.93,49.86
ACP,128,429,5,9097,1237,2469,99.94,49.89
HP,128,828,5,9126,3373,5410,99.94,37.65
HP,128,828,4,9378,3377,5414,99.95,37.62
HP,128,829,4,9114,3377,5414,99.95,37.62
HP,128,828,4,9137,3348,5383,99.95,37.80
HP,128,829,3,9113,3355,5390,99.96,37.75
SW,128,152669,230534,38031113,383720,614129,99.39,37.51
SW,128,152664,230556,38031010,383492,613990,99.39,37.54
SW,128,152664,230767,38030916,384229,614939,99.39,37.51
SW,128,152663,230409,38031028,383022,613373,99.39,37.55
SW,128,152664,230528,38031167,383709,614181,99.39,37.52
ACP,256,1698,6,36144,10073,17456,99.98,42.29
ACP,256,1698,6,36172,10264,18185,99.98,43.55
ACP,256,1698,6,37195,8707,16156,99.98,46.10
ACP,256,1698,6,36162,8825,16655,99.98,47.01
ACP,256,1698,6,37241,8887,16573,99.98,46.37
HP,256,3171,5,36172,13271,21405,99.98,38.00
HP,256,3241,6,36173,13278,21411,99.98,37.98
HP,256,3268,5,36192,13228,21360,99.98,38.07
HP,256,3275,5,36175,13281,21413,99.98,37.97
HP,256,3276,5,36192,13260,21393,99.98,38.01
SW,256,1218446,2212089,303081200,4240112,6451893,99.27,34.28
SW,256,1218441,2212249,303080524,4240734,6452668,99.27,34.27
SW,256,1218451,2212549,303081005,4240444,6452673,99.26,34.28
SW,256,1218449,2212671,303080403,4241148,6453488,99.26,34.28
SW,256,1218448,2212238,303080905,4240442,6452355,99.27,34.28
ACP,512,6773,5,144281,51074,82223,99.99,37.88
ACP,512,6773,6,144271,50956,82269,99.99,38.06
ACP,512,6773,6,144274,49928,81089,99.99,38.42
ACP,512,6773,6,144286,51781,83124,99.99,37.70
ACP,512,6773,6,144305,50617,82507,99.99,38.65
HP,512,10654,0,144314,52999,85511,100.00,38.02
HP,512,10655,0,144310,52953,85465,100.00,38.04
HP,512,10655,0,144314,52960,85472,100.00,38.03
HP,512,10656,0,144297,52946,85458,100.00,38.04
HP,512,10656,0,144308,52722,85234,100.00,38.14
SW,512,9740445,18329326,2419633322,34652727,52872465,99.24,34.45
SW,512,9740445,18328838,2419633554,34652204,52871605,99.24,34.45
SW,512,9740419,18328894,2419634344,34652643,52872275,99.24,34.45
SW,512,9740406,18329732,2419634307,34652606,52873106,99.24,34.46
SW,512,9740417,18326466,2419635125,34650049,52867212,99.24,34.45
# Sweep complete.
